iter	Passed	Remaining
0	1	145
1	2	126
2	3	117
3	4	106
4	5	106
5	6	106
6	7	104
7	8	103
8	10	101
9	12	110
10	14	115
11	15	114
12	16	112
13	17	109
14	18	106
15	19	104
16	21	103
17	22	102
18	23	100
19	24	98
20	25	97
21	27	98
22	28	96
23	30	95
24	31	93
25	32	91
26	33	89
27	34	88
28	35	86
29	36	84
30	37	83
31	38	81
32	39	80
33	41	79
34	42	79
35	44	79
36	45	77
37	46	76
38	47	74
39	48	73
40	49	71
41	50	69
42	51	67
43	52	66
44	53	65
45	54	63
46	55	62
47	57	62
48	58	60
49	59	59
50	60	58
51	61	57
52	62	55
53	63	54
54	64	52
55	65	51
56	66	50
57	67	48
58	68	47
59	69	46
60	72	46
61	74	45
62	76	44
63	77	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	85	34
71	87	33
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	98	21
82	99	20
83	102	19
84	104	18
85	105	17
86	106	15
87	107	14
88	108	13
89	109	12
90	110	10
91	111	9
92	112	8
93	113	7
94	115	6
95	117	4
96	118	3
97	119	2
98	121	1
99	122	0
